year,quarter,month,day_of_month,day_of_week,fl_date,op_unique_carrier,tail_num,op_carrier_fl_num,origin,dest,crs_dep_time,dep_time,dep_delay,dep_delay_new,taxi_out,taxi_in,crs_arr_time,arr_time,arr_delay,arr_delay_new,arr_del15,cancelled,diverted,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,source_file,route,dep_hour,block_time_error,underblocked,late_arrival,is_weekend
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N404AN,968,DCA,LAX,1730,1728.0,-2.0,0.0,19.0,5.0,2009,1934.0,-35.0,0.0,0.0,0.0,0.0,339.0,306.0,282.0,2311.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-LAX,17,-33.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N406AN,1542,PHX,DCA,2345,2333.0,-12.0,0.0,11.0,4.0,700,642.0,-18.0,0.0,0.0,0.0,0.0,255.0,249.0,234.0,1979.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,PHX-DCA,23,-6.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N406AN,2831,DCA,PHX,1730,1723.0,-7.0,0.0,30.0,9.0,1927,1908.0,-19.0,0.0,0.0,0.0,0.0,297.0,285.0,246.0,1979.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-PHX,17,-12.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N406AN,3283,LAX,DCA,822,818.0,-4.0,0.0,14.0,3.0,1622,1613.0,-9.0,0.0,0.0,0.0,0.0,300.0,295.0,278.0,2311.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,LAX-DCA,8,-5.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N438AN,2006,DCA,PHX,729,721.0,-8.0,0.0,12.0,5.0,921,850.0,-31.0,0.0,0.0,0.0,0.0,292.0,269.0,252.0,1979.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-PHX,7,-23.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N453AA,591,LAX,DCA,1300,1301.0,1.0,1.0,15.0,2.0,2059,2045.0,-14.0,0.0,0.0,0.0,0.0,299.0,284.0,267.0,2311.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,LAX-DCA,13,-15.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N466AN,1966,DCA,LAX,820,811.0,-9.0,0.0,13.0,7.0,1049,1015.0,-34.0,0.0,0.0,0.0,0.0,329.0,304.0,284.0,2311.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-LAX,8,-25.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N467AL,1634,PHX,DCA,1239,1409.0,90.0,90.0,26.0,3.0,1959,2134.0,95.0,95.0,1.0,0.0,0.0,260.0,265.0,236.0,1979.0,0.0,0.0,5.0,0.0,90.0,T_ONTIME_REPORTING OCT 2025.csv,PHX-DCA,12,5.0,1,1,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N472AN,1218,DCA,PHX,1030,1028.0,-2.0,0.0,14.0,4.0,1223,1154.0,-29.0,0.0,0.0,0.0,0.0,293.0,266.0,248.0,1979.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-PHX,10,-27.0,0,0,0
2025,4,10,1,3,10/1/2025 12:00:00 AM,AA,N5007E,1612,DCA,MIA,1345,1342.0,-3.0,0.0,16.0,5.0,1628,1614.0,-14.0,0.0,0.0,0.0,0.0,163.0,152.0,131.0,919.0,,,,,,T_ONTIME_REPORTING OCT 2025.csv,DCA-MIA,13,-11.0,0,0,0
