route,flights,avg_scheduled_block,avg_actual_block,avg_block_error,median_block_error,p75_block_error,p90_block_error,late_rate,avg_arrival_delay,avg_departure_delay,avg_taxi_out,avg_taxi_in,distance,recommended_action
MIA-DCA,863,152.603707995365,148.7137891077636,-3.8899188876013904,-5.0,2.0,11.0,23.406720741599074,7.359212050984937,11.249130938586326,19.246813441483198,5.52954808806489,919.0,Monitor
DFW-RIC,266,169.9699248120301,161.38721804511277,-8.582706766917294,-10.0,-4.0,7.5,23.308270676691727,14.541353383458647,23.12406015037594,18.25563909774436,6.988721804511278,1158.0,Monitor
DCA-PVD,112,84.51785714285714,81.14285714285714,-3.375,-5.0,0.0,7.0,23.214285714285715,6.741071428571429,10.116071428571429,19.25,6.026785714285714,356.0,Monitor
DCA-DFW,810,216.47283950617285,209.79012345679013,-6.682716049382716,-9.5,4.0,17.0,23.08641975308642,3.5382716049382714,10.220987654320988,20.587654320987653,15.919753086419753,1192.0,Monitor
DCA-RDU,48,71.625,66.33333333333333,-5.291666666666667,-6.5,-1.75,1.3000000000000043,22.916666666666664,5.020833333333333,10.3125,17.604166666666668,5.041666666666667,227.0,Monitor
DCA-PBI,283,158.8303886925795,150.97526501766785,-7.855123674911661,-11.0,-1.0,11.0,22.614840989399294,5.303886925795053,13.159010600706713,21.01060070671378,6.106007067137809,857.0,Monitor
PWM-DCA,244,112.07786885245902,109.17213114754098,-2.9057377049180326,-4.5,3.0,10.0,22.540983606557376,18.233606557377048,21.139344262295083,16.30327868852459,5.471311475409836,482.0,Monitor
PVD-DCA,113,91.24778761061947,92.72566371681415,1.4778761061946903,-2.0,7.0,18.599999999999994,22.123893805309734,9.646017699115044,8.168141592920353,17.0,5.486725663716814,356.0,Monitor
VPS-DCA,86,131.2093023255814,129.22093023255815,-1.9883720930232558,-4.0,4.75,12.5,22.093023255813954,8.081395348837209,10.069767441860465,20.74418604651163,5.534883720930233,789.0,Monitor
LAS-DCA,91,270.967032967033,259.13186813186815,-11.835164835164836,-13.0,-5.0,4.0,21.978021978021978,4.868131868131868,16.703296703296704,21.747252747252748,5.461538461538462,2089.0,Monitor
MIA-ORF,92,140.69565217391303,133.7608695652174,-6.934782608695652,-9.0,-1.75,4.0,21.73913043478261,7.173913043478261,14.108695652173912,20.91304347826087,5.293478260869565,802.0,Monitor
DCA-LAX,180,351.7111111111111,343.7388888888889,-7.972222222222222,-11.0,3.0,16.0,21.11111111111111,3.022222222222222,10.994444444444444,25.488888888888887,10.85,2311.0,Monitor
BNA-DCA,91,107.83516483516483,104.95604395604396,-2.879120879120879,-4.0,7.0,12.0,20.87912087912088,4.648351648351649,7.527472527472527,21.560439560439562,5.725274725274725,562.0,Monitor
DCA-MIA,869,167.48101265822785,160.53049482163405,-6.950517836593786,-9.0,2.0,12.0,20.828538550057537,4.951668584579977,11.902186421173763,20.119677790563866,9.313003452243958,919.0,Monitor
RIC-MIA,109,152.045871559633,146.89908256880733,-5.146788990825688,-7.0,1.0,12.0,20.18348623853211,2.36697247706422,7.513761467889908,19.28440366972477,9.357798165137615,826.0,Monitor
CLT-RIC,537,73.68901303538175,67.62011173184358,-6.068901303538175,-7.0,-2.0,4.0,19.925512104283055,7.48975791433892,13.558659217877095,17.60335195530726,7.23463687150838,257.0,Potentially reduce excess block time
CLT-ORF,332,74.98795180722891,67.79819277108433,-7.1897590361445785,-8.0,-3.0,1.0,19.879518072289155,9.650602409638553,16.84036144578313,16.96385542168675,6.006024096385542,290.0,Potentially reduce excess block time
DCA-MSY,136,169.71323529411765,164.02205882352942,-5.6911764705882355,-7.0,2.0,13.5,19.852941176470587,1.8455882352941178,7.536764705882353,20.38235294117647,4.904411764705882,969.0,Potentially reduce excess block time
DCA-CLT,593,96.76391231028668,89.93760539629005,-6.8263069139966275,-9.0,-1.0,8.800000000000068,19.392917369308602,16.827993254637438,23.654300168634062,21.17706576728499,9.210792580101181,331.0,Potentially reduce excess block time
MSY-DCA,137,148.7080291970803,145.28467153284672,-3.423357664233577,-5.0,3.0,12.400000000000006,18.97810218978102,7.2700729927007295,10.693430656934307,16.364963503649633,5.54014598540146,969.0,Monitor
CHS-DCA,159,92.36477987421384,88.86163522012579,-3.50314465408805,-7.0,3.0,12.200000000000017,18.867924528301888,4.2075471698113205,7.710691823899371,18.031446540880502,5.89937106918239,444.0,Monitor
BGR-DCA,62,114.62903225806451,113.66129032258064,-0.967741935483871,-4.0,4.5,9.0,17.741935483870968,1.1935483870967742,2.161290322580645,15.209677419354838,5.5,590.0,Monitor
DCA-PHX,265,312.46792452830186,302.70566037735847,-9.762264150943397,-13.0,-1.0,10.599999999999994,17.358490566037734,10.596226415094339,20.358490566037737,23.505660377358492,7.350943396226415,1979.0,Potentially reduce excess block time
RIC-CLT,536,86.1231343283582,78.7705223880597,-7.352611940298507,-9.0,-2.0,7.0,17.16417910447761,4.352611940298507,11.705223880597014,17.625,9.817164179104477,257.0,Potentially reduce excess block time
IAD-CLT,158,91.91772151898734,89.40506329113924,-2.5126582278481013,-5.0,6.0,17.0,16.455696202531644,10.291139240506329,12.80379746835443,20.632911392405063,9.417721518987342,322.0,Monitor
DCA-VPS,86,161.5,152.63953488372093,-8.86046511627907,-9.5,1.75,15.0,16.27906976744186,-3.395348837209302,5.465116279069767,27.709302325581394,8.546511627906977,789.0,Potentially reduce excess block time
ORF-CLT,334,88.33233532934132,82.7874251497006,-5.544910179640719,-7.0,-1.0,7.699999999999989,15.868263473053892,7.550898203592815,13.095808383233534,17.15568862275449,9.341317365269461,290.0,Potentially reduce excess block time
PHX-DCA,264,251.88257575757575,245.87121212121212,-6.011363636363637,-7.0,1.0,8.0,15.530303030303031,0.42803030303030304,6.4393939393939394,18.49621212121212,5.5227272727272725,1979.0,Potentially reduce excess block time
RDU-DCA,48,67.77083333333333,67.83333333333333,0.0625,-4.0,1.25,18.900000000000013,14.583333333333334,-1.9791666666666667,-2.0416666666666665,21.895833333333332,6.354166666666667,227.0,Monitor
LAX-DCA,183,294.6448087431694,284.08196721311475,-10.562841530054644,-12.0,-4.0,5.0,12.568306010928962,-3.1475409836065573,7.415300546448087,17.87431693989071,5.46448087431694,2311.0,Potentially reduce excess block time
DCA-LAS,91,320.27472527472526,312.15384615384613,-8.12087912087912,-10.0,1.5,10.0,10.989010989010989,-3.879120879120879,4.241758241758242,21.824175824175825,6.461538461538462,2089.0,Potentially reduce excess block time
ORF-MIA,92,146.22826086956522,137.91304347826087,-8.315217391304348,-10.0,-3.0,7.0,10.869565217391305,8.032608695652174,16.347826086956523,17.358695652173914,7.641304347826087,802.0,Potentially reduce excess block time
DCA-BGR,62,112.24193548387096,106.69354838709677,-5.548387096774194,-7.0,0.75,5.899999999999999,9.67741935483871,-3.8548387096774195,1.6935483870967742,20.419354838709676,6.145161290322581,590.0,Potentially reduce excess block time
SAT-DCA,84,191.79761904761904,185.8095238095238,-5.988095238095238,-6.5,1.0,7.0,9.523809523809524,-6.9523809523809526,-0.9642857142857143,13.0,5.309523809523809,1380.0,Potentially reduce excess block time
